Property_ID,Property Type,Bedrooms,Bathrooms,Area,Price,Description,Location,District,City
V760234914,شقة,4.0,4.0,478.0,900000.0,"شقق مودرن للبيع في المهدية, غرب الرياض",المهدية، غرب الرياض، الرياض,حي المهدية,الرياض
C195758869,شقة,3.0,3.0,138.0,550000.0,شقة للبيع في السويدي، غرب الرياض,السويدي، غرب الرياض، الرياض,حي السويدي,الرياض
F454234640,شقة,3.0,3.0,152.0,530000.0,"شقق للبيع في الحزم, غرب الرياض",الحزم، غرب الرياض، الرياض,حي الحزم,الرياض
D174760725,عمارة سكنية,0.0,0.0,137.0,680000.0,شقق سكنية جديدة للبيع في حي السعادة!,السعادة، شرق الرياض، الرياض,حي السعادة,الرياض
S943604970,شقة,3.0,3.0,158.0,560000.0,شقق للبيع في  الزهرة، غرب الرياض,الزهرة، غرب الرياض، الرياض,حي الزهرة,الرياض
N564940755,فیلا,3.0,3.0,245.0,3500000.0,"Aurora Villa, a collection of distinguished villas for sale in a strategic location in Rayan neighborhood",الريان، شرق الرياض، الرياض,حي الريان,الرياض
N870116651,شقة,3.0,3.0,360.0,65000.0,شفة للإيجار في قرطبة، شرق الرياض,قرطبة، شرق الرياض، الرياض,حي قرطبة,الرياض
E422920763,شقة,0.0,1.0,93.0,1500000.0,شقة استوديو للبيع في العليا، الرياض,العليا، شمال الرياض، الرياض,حي العليا,الرياض
V626679123,فیلا,8.0,5.0,375.0,1250000.0,فيلا للبيع في الدار البيضاء، جنوب الرياض,الدار البيضاء، جنوب الرياض، الرياض,حي الدار البيضاء,الرياض
X835130619,دور,3.0,3.0,194.0,1100000.0,"دور ارضي للبيع في الخليج, شرق الرياض",الخليج، شرق الرياض، الرياض,حي الخليج,الرياض
G269500648,فیلا,4.0,4.0,425.0,3485000.0,الرياض حي العارض,العارض، شمال الرياض، الرياض,حي العارض,الرياض
C265882765,شقة,3.0,3.0,140.0,1420000.0,شقة للبيع في عرقة، غرب الرياض,عرقة، غرب الرياض، الرياض,حي عرقة,الرياض
M829436455,دور,3.0,3.0,500.0,860000.0,دور للبيع في شبرا، غرب الرياض,شبرا، غرب الرياض، الرياض,حي شبرا,الرياض
V178171560,شقة,3.0,3.0,141.0,1850000.0,شقة سكنية فاخرة تجمع بين الراحة، الفخامة، والأمان! ✨,حطين، شمال الرياض، الرياض,حي حطين,الرياض
L536271756,شقة,3.0,4.0,124.0,765000.0,شقة فاخرة للبيع,القادسية، شرق الرياض، الرياض,حي القادسية,الرياض
G744104276,شقة,3.0,3.0,131.0,420000.0,شقة للبيع في الدار البيضاء، جنوب الرياض,الدار البيضاء، جنوب الرياض، الرياض,حي الدار البيضاء,الرياض
V634968378,دور,5.0,4.0,196.0,1080000.0,"دور للبيع في الرمال, شرق الرياض",الرمال، شرق الرياض، الرياض,حي الرمال,الرياض
Q386219271,دور,2.0,2.0,193.0,769999.0,فيلا للايجار حي الشفاء,الشفا، جنوب الرياض، الرياض,حي الشفا,الرياض
P766932871,شقة,3.0,3.0,126.0,950000.0,شقة للبيع الملقا، شمال الرياض,الملقا، شمال الرياض، الرياض,حي الملقا,الرياض
W073902625,شقة,3.0,3.0,130.0,460000.0,شقق للبيع في عكاظ، جنوب الرياض,عكاظ، جنوب الرياض، الرياض,حي عكاظ,الرياض
N942053353,فیلا,6.0,4.0,500.0,2000000.0,Villa for sale in Riyadh city,البديعة، غرب الرياض، الرياض,حي البديعة,الرياض
K978389469,شقة,3.0,3.0,140.0,620000.0,شقة للبيع في الرمال، شرق الرياض,الرمال، شرق الرياض، الرياض,حي الرمال,الرياض
Z312254849,شقة,3.0,3.0,132.0,680000.0,شقة للبيع في حي السعادة، شرق الرياض,السعادة، شرق الرياض، الرياض,حي السعادة,الرياض
C369197703,شقة,3.0,3.0,123.0,630000.0,شقة 3 غرف نوم للبيع في ظهرة لبن، الرياض,ظهرة لبن، غرب الرياض، الرياض,حي ظهرة لبن,الرياض
C829436455,دور,3.0,3.0,500.0,860000.0,دور للبيع في شبرا، غرب الرياض,شبرا، غرب الرياض، الرياض,حي شبرا,الرياض
B885072826,دور,7.0,3.0,227.0,780000.0,٣ غرف نوم ادوار للبيع العزيزية، الرياض,العزيزية، جنوب الرياض، الرياض,حي العزيزية,الرياض
X565851689,دور,3.0,3.0,500.0,800000.0,"دور للبيع في شبرا, غرب الرياض",شبرا، غرب الرياض، الرياض,حي شبرا,الرياض
U557985808,دور,4.0,4.0,214.0,760000.0,دور للبيع في بدر، جنوب الرياض,بدر، جنوب الرياض، الرياض,حي بدر,الرياض
A952751472,دور,3.0,3.0,500.0,800000.0,أدوار للبيع في شبرا، غرب الرياض,شبرا، غرب الرياض، الرياض,حي شبرا,الرياض
Q892210637,شقة,3.0,2.0,93.0,6500000.0,شقة للبيع في العليا، شمال الرياض,العليا، شمال الرياض، الرياض,حي العليا,الرياض
B878460946,دور,8.0,6.0,250.0,860000.0,دور للبيع في شبرا، غرب الرياض,شبرا، غرب الرياض، الرياض,حي شبرا,الرياض
E526674161,فیلا,3.0,4.0,360.0,1680000.0,تاون هاوس وشقق وادوار للبيع في الجنادرية، الرياض,المونسية، شرق الرياض، الرياض,حي المونسية,الرياض
F822756369,ارض سكنية,0.0,0.0,1611.0,8860500.0,أرض للبيع في شارع العطايف ، حي الحمراء ، الرياض ، منطقة الرياض,الحمراء، شرق الرياض، الرياض,حي الحمراء,الرياض
D345542154,شقة,3.0,3.0,140.0,1200000.0,شقة للبيع في الربيع، شمال الرياض,الربيع، شمال الرياض، الرياض,حي الربيع,الرياض
X917525072,فیلا,5.0,1.0,615.0,5800000.0,فيلا للبيع مستخدمة بحى العقيق,العقيق، شمال الرياض، الرياض,حي العقيق,الرياض
C449034362,دور,5.0,3.0,187.0,630000.0,دور للبيع في بدر، جنوب الرياض,بدر، جنوب الرياض، الرياض,حي بدر,الرياض
E837692382,دور,4.0,5.0,199.0,900000.0,دور فاخر للبيع,القادسية، شرق الرياض، الرياض,حي القادسية,الرياض
O412344465,دور,4.0,5.0,222.0,1150000.0,دور فاخر للبيع,القادسية، شرق الرياض، الرياض,حي القادسية,الرياض
A450630225,شقة,5.0,3.0,124.0,550000.0,شقق تمليك فاخره للبيع في حي الحزم، الرياض,الحزم، غرب الرياض، الرياض,حي الحزم,الرياض
A444901493,شقة,3.0,3.0,135.0,1000000.0,شقة للبيع في قرطبة، شرق الرياض,قرطبة، شرق الرياض، الرياض,حي قرطبة,الرياض
W452425177,شقة,4.0,3.0,9100.0,705536.0,"شقق للبيع في المونسية, شرق الرياض",المونسية، شرق الرياض، الرياض,حي المونسية,الرياض
W156497679,شقة,3.0,3.0,131.0,400000.0,شقة للبيع في الدار البيضاء، جنوب الرياض,الدار البيضاء، جنوب الرياض، الرياض,حي الدار البيضاء,الرياض
W851799459,شقة,3.0,3.0,154.0,1200000.0,دور ارضي - تاون هاوس علوي (حي المونسيه ),المونسية، شرق الرياض، الرياض,حي المونسية,الرياض
W704836619,دور,6.0,2.0,300.0,1160000.0,دور للبيع في الجنادرية، شرق الرياض,الجنادرية، شرق الرياض، الرياض,حي الجنادرية,الرياض
H472565860,دور,4.0,4.0,214.0,760000.0,دور للبيع في حي بدر، جنوب الرياض,بدر، جنوب الرياض، الرياض,حي بدر,الرياض
E693399218,شقة,3.0,3.0,124.0,580000.0,شقة للبيع في السويدي، غرب الرياض,السويدي، غرب الرياض، الرياض,حي السويدي,الرياض
S270709243,شقة,3.0,3.0,149.0,430000.0,شقق للبيع في بدر، جنوب الرياض,بدر، جنوب الرياض، الرياض,حي بدر,الرياض
V859261897,شقة,3.0,3.0,170.0,450000.0,شقة للبيع في بدر، جنوب الرياض,بدر، جنوب الرياض، الرياض,حي بدر,الرياض
S899256299,دور,3.0,3.0,500.0,860000.0,دور للبيع في الزهرة، غرب الرياض,الزهرة، غرب الرياض، الرياض,حي الزهرة,الرياض
O715245325,شقة,3.0,3.0,136.0,790000.0,شقة 3 غرف نوم للبيع في المهدية، الرياض,المهدية، غرب الرياض، الرياض,حي المهدية,الرياض
R850549264,شقة,3.0,3.0,177.0,450000.0,شقة للبيع في بدر، جنوب الرياض,بدر، جنوب الرياض، الرياض,حي بدر,الرياض
D666336316,فیلا,5.0,8.0,382.0,6000000.0,فيلا جديدة للبيع في السليمانية، شمال الرياض,السليمانية، شمال الرياض، الرياض,حي السليمانية,الرياض
U848614168,ارض سكنية,0.0,0.0,400.0,600000.0,أرض للبيع في  عريض، جنوب الرياض,عريض، جنوب الرياض، الرياض,حي عريض,الرياض
H689471085,شقة,3.0,3.0,131.0,430000.0,شقة للبيع في بدر، جنوب الرياض,بدر، جنوب الرياض، الرياض,حي بدر,الرياض
S819538263,شقة,3.0,3.0,140.0,950000.0,"شقق للبيع في العارض, شمال الرياض",العارض، شمال الرياض، الرياض,حي العارض,الرياض
F788880448,شقة,3.0,3.0,132.0,999000.0,شقة  للبيع في  الروضة، شرق الرياض,الروضة، شرق الرياض، الرياض,حي الروضة,الرياض
G402209423,فیلا,5.0,4.0,319.0,1150000.0,"فيلا للبيع في الرمال, شرق الرياض",الرمال، شرق الرياض، الرياض,حي الرمال,الرياض
S882591894,شقة,3.0,3.0,146.0,1079000.0,شقة للبيع في الروضة، شرق الرياض,الروضة، شرق الرياض، الرياض,حي الروضة,الرياض
T839834296,فیلا,8.0,5.0,278.0,970000.0,"فيلا للبيع في حي طيبة , الرياض",طيبة، جنوب الرياض، الرياض,حي طيبة,الرياض
P876087626,دور,4.0,3.0,250.0,860000.0,دور للبيع في شبرا، غرب الرياض,شبرا، غرب الرياض، الرياض,حي شبرا,الرياض
A940246066,دور,4.0,3.0,500.0,860000.0,دور للبيع في شبرا، غرب الرياض,شبرا، غرب الرياض، الرياض,حي شبرا,الرياض
L890011961,دور,3.0,3.0,145.0,550000.0,"أدوار للبيع في الدار البيضاء, جنوب الرياض",الدار البيضاء، جنوب الرياض، الرياض,حي الدار البيضاء,الرياض
J028136760,فیلا,10.0,5.0,268.0,2800000.0,فيلا ١٠ غرف نوم للبيع في النرجس، الرياض,النرجس، شمال الرياض، الرياض,حي النرجس,الرياض
X970177610,فیلا,9.0,7.0,600.0,6300000.0,فيلا للبيع في النرجس، شمال الرياض,النرجس، شمال الرياض، الرياض,حي النرجس,الرياض
Q124606927,شقة,3.0,4.0,159.0,790000.0,شقه للبيع,القادسية، شرق الرياض، الرياض,حي القادسية,الرياض
